timestamp,Infrared to Red Signal Ratio
08/14/19 00:42:02,0
08/14/19 00:43:02,8
08/14/19 00:44:02,6
08/14/19 00:45:02,-2
08/14/19 00:46:02,0
08/14/19 00:47:02,11
08/14/19 00:48:02,11
08/14/19 00:49:02,16
08/14/19 00:50:02,20
08/14/19 00:51:02,5
08/14/19 00:52:02,25
08/14/19 00:53:02,6
08/14/19 00:54:02,10
08/14/19 00:55:02,5
08/14/19 00:56:03,0
08/14/19 00:57:03,6
08/14/19 00:58:04,-10
08/14/19 00:59:04,7
08/14/19 01:00:04,3
08/14/19 01:01:04,11
08/14/19 01:02:04,0
08/14/19 01:03:04,7
08/14/19 01:04:04,0
08/14/19 01:05:04,13
08/14/19 01:06:04,3
08/14/19 01:07:04,1
08/14/19 01:08:04,2
08/14/19 01:09:04,3
08/14/19 01:10:04,3
08/14/19 01:11:04,-2
08/14/19 01:12:04,15
08/14/19 01:13:04,1
08/14/19 01:14:04,-12
08/14/19 01:15:05,39
08/14/19 01:16:05,-1
08/14/19 01:17:05,-2
08/14/19 01:18:05,3
08/14/19 01:19:05,-1
08/14/19 01:20:05,-27
08/14/19 01:21:05,-22
08/14/19 01:22:05,1
08/14/19 01:23:05,-11
08/14/19 01:24:05,19
08/14/19 01:25:05,-4
08/14/19 01:26:05,-13
08/14/19 01:27:05,-46
08/14/19 01:28:05,-28
08/14/19 01:29:05,-25
08/14/19 01:30:05,-61
08/14/19 01:31:05,0
08/14/19 01:32:06,12
08/14/19 01:33:06,1
08/14/19 01:34:07,-1
08/14/19 01:35:07,1
08/14/19 01:36:07,-7
08/14/19 01:37:07,-2
08/14/19 01:38:07,-2
08/14/19 01:39:07,-1
08/14/19 01:40:07,-2
08/14/19 01:41:07,0
08/14/19 01:42:07,0
08/14/19 01:43:07,-1
08/14/19 01:44:07,-1
08/14/19 01:45:07,-1
08/14/19 01:46:07,-1
08/14/19 01:47:07,-5
08/14/19 01:48:07,-1
08/14/19 01:49:08,-10
08/14/19 01:50:08,-3
08/14/19 01:51:08,-10
08/14/19 01:52:08,-10
08/14/19 01:53:08,-2
08/14/19 01:54:08,-1
08/14/19 01:55:08,-2
08/14/19 01:56:08,-1
08/14/19 01:57:08,-5
08/14/19 01:58:08,0
08/14/19 01:59:08,-8
08/14/19 02:00:08,-11
08/14/19 02:01:08,-10
08/14/19 02:02:08,-1
08/14/19 02:03:08,1
08/14/19 02:04:08,-8
08/14/19 02:05:08,-6
08/14/19 02:06:09,-2
08/14/19 02:07:09,0
08/14/19 02:08:09,-1
08/14/19 02:09:09,-4
08/14/19 02:10:09,-7
08/14/19 02:11:09,-1
08/14/19 02:12:09,-2
08/14/19 02:13:09,1
08/14/19 02:14:09,7
08/14/19 02:15:09,1
08/14/19 02:16:09,0
08/14/19 02:17:09,5
08/14/19 02:18:09,-2
08/14/19 02:19:09,-2
08/14/19 02:20:09,0
08/14/19 02:21:09,-3
08/14/19 02:22:09,0
08/14/19 02:23:10,-5
08/14/19 02:24:10,-3
08/14/19 02:25:10,4
08/14/19 02:26:10,0
08/14/19 02:27:10,-8
08/14/19 02:28:10,5
08/14/19 02:29:10,6
08/14/19 02:30:10,0
08/14/19 02:31:10,-1
08/14/19 02:32:10,-1
08/14/19 02:33:10,1
08/14/19 02:34:10,-1
08/14/19 02:35:10,-9
08/14/19 02:36:10,2
08/14/19 02:37:10,0
08/14/19 02:38:10,-28
08/14/19 02:39:10,5
08/14/19 02:40:10,0
08/14/19 02:41:11,-5
08/14/19 02:42:12,-7
08/14/19 02:43:12,-22
08/14/19 02:44:12,15
08/14/19 02:45:12,-6
08/14/19 02:46:12,6
08/14/19 02:47:12,-7
08/14/19 02:48:12,0
08/14/19 02:49:12,0
08/14/19 02:50:12,-7
08/14/19 02:51:12,1
08/14/19 02:52:12,-31
08/14/19 02:53:13,-1
08/14/19 02:54:13,-40
08/14/19 02:55:13,1
08/14/19 02:56:14,-38
08/14/19 02:57:15,-6
08/14/19 02:58:15,0
08/14/19 02:59:15,-1
08/14/19 03:00:15,0
08/14/19 03:01:15,-1
08/14/19 03:02:15,-8
08/14/19 03:03:15,33
08/14/19 03:04:15,-1
08/14/19 03:05:15,4
08/14/19 03:06:15,-2
08/14/19 03:07:15,-5
08/14/19 03:08:15,-1
08/14/19 03:09:15,-11
08/14/19 03:10:15,-14
08/14/19 03:11:15,-20
08/14/19 03:12:15,-1
08/14/19 03:13:15,-11
08/14/19 03:14:16,-9
08/14/19 03:15:16,0
08/14/19 03:16:16,0
08/14/19 03:17:16,0
08/14/19 03:18:16,12
08/14/19 03:19:16,0
08/14/19 03:20:16,0
08/14/19 03:21:16,5
08/14/19 03:22:17,10
08/14/19 03:23:17,-4
08/14/19 03:24:17,0
08/14/19 03:25:17,1
08/14/19 03:26:17,12
08/14/19 03:27:19,0
08/14/19 03:28:19,1
08/14/19 03:29:19,0
08/14/19 03:30:19,6
08/14/19 03:31:20,24
08/14/19 03:32:20,-1
08/14/19 03:33:20,1
08/14/19 03:34:20,-5
08/14/19 03:35:20,24
08/14/19 03:36:20,0
08/14/19 03:37:20,-4
08/14/19 03:38:20,-5
08/14/19 03:39:20,11
08/14/19 03:40:20,0
08/14/19 03:41:20,0
08/14/19 03:42:20,-2
08/14/19 03:43:20,0
08/14/19 03:44:20,-3
08/14/19 03:45:20,0
08/14/19 03:46:20,1
08/14/19 03:47:20,3
08/14/19 03:48:21,-9
08/14/19 03:49:21,-1
08/14/19 03:50:21,-3
08/14/19 03:51:21,0
08/14/19 03:52:21,17
08/14/19 03:53:21,0
08/14/19 03:54:21,-1
08/14/19 03:55:21,-5
08/14/19 03:56:21,3
08/14/19 03:57:21,-1
08/14/19 03:58:21,-3
08/14/19 03:59:21,2
08/14/19 04:00:21,-9
08/14/19 04:01:21,23
08/14/19 04:02:21,14
08/14/19 04:03:21,3
08/14/19 04:04:21,29
08/14/19 04:05:22,-2
08/14/19 04:06:22,0
08/14/19 04:07:22,-18
08/14/19 04:08:22,6
08/14/19 04:09:22,41
08/14/19 04:10:22,-3
08/14/19 04:11:22,17
08/14/19 04:12:22,15
08/14/19 04:13:22,3
08/14/19 04:14:22,-31
08/14/19 04:15:22,-1
08/14/19 04:16:22,-15
08/14/19 04:17:22,6
08/14/19 04:18:22,7
08/14/19 04:19:22,7
08/14/19 04:20:22,4
08/14/19 04:21:22,11
08/14/19 04:22:23,0
08/14/19 04:23:23,-2
08/14/19 04:24:23,-33
08/14/19 04:25:23,-11
08/14/19 04:26:23,-2
08/14/19 04:27:23,2
08/14/19 04:28:23,-6
08/14/19 04:29:23,-8
08/14/19 04:30:23,0
08/14/19 04:31:23,6
08/14/19 04:32:23,-20
08/14/19 04:33:23,-1
08/14/19 04:34:23,5
08/14/19 04:35:23,-3
08/14/19 04:36:23,-2
08/14/19 04:37:23,-4
08/14/19 04:38:23,0
08/14/19 04:39:23,-12
08/14/19 04:40:24,-28
08/14/19 04:41:24,-1
08/14/19 04:42:24,0
08/14/19 04:43:24,18
08/14/19 04:44:24,-33
08/14/19 04:45:24,-8
08/14/19 04:46:24,-1
08/14/19 04:47:24,1
08/14/19 04:48:24,1
08/14/19 04:49:24,0
08/14/19 04:50:25,-3
08/14/19 04:51:25,20
08/14/19 04:52:26,0
08/14/19 04:53:26,0
08/14/19 04:54:26,1
08/14/19 04:55:26,-2
08/14/19 04:56:26,2
08/14/19 04:57:27,-5
08/14/19 04:58:27,2
08/14/19 04:59:27,3
08/14/19 05:00:27,-1
08/14/19 05:01:27,-33
08/14/19 05:02:27,-1
08/14/19 05:03:27,5
08/14/19 05:04:27,-21
08/14/19 05:05:27,-7
08/14/19 05:06:27,-2
08/14/19 05:07:27,-4
08/14/19 05:08:27,1
08/14/19 05:09:27,-2
08/14/19 05:10:27,0
08/14/19 05:11:27,1
08/14/19 05:12:27,-2
08/14/19 05:13:27,0
08/14/19 05:14:28,-7
08/14/19 05:15:28,0
08/14/19 05:16:28,-6
08/14/19 05:17:28,-6
08/14/19 05:18:28,0
08/14/19 05:19:28,0
08/14/19 05:20:28,0
08/14/19 05:21:28,-37
08/14/19 05:22:28,-3
08/14/19 05:23:28,2
08/14/19 05:24:28,1
08/14/19 05:25:28,-4
08/14/19 05:26:28,-1
08/14/19 05:27:28,-13
08/14/19 05:28:28,2
08/14/19 05:29:28,-1
08/14/19 05:30:28,-17
08/14/19 05:31:29,3
08/14/19 05:32:29,-2
08/14/19 05:33:29,0
08/14/19 05:34:29,2
08/14/19 05:35:29,-1
08/14/19 05:36:29,0
08/14/19 05:37:29,0
08/14/19 05:38:29,-1
08/14/19 05:39:29,-1
08/14/19 05:40:29,-3
08/14/19 05:41:29,-2
08/14/19 05:42:29,1
08/14/19 05:43:29,-7
08/14/19 05:44:29,0
08/14/19 05:45:29,0
08/14/19 05:46:29,2
08/14/19 05:47:29,-1
08/14/19 05:48:30,0
08/14/19 05:49:30,-3
08/14/19 05:50:30,6
08/14/19 05:51:30,-1
08/14/19 05:52:30,-1
08/14/19 05:53:30,0
08/14/19 05:54:30,-2
08/14/19 05:55:30,0
08/14/19 05:56:30,-3
08/14/19 05:57:30,21
08/14/19 05:58:30,2
08/14/19 05:59:30,1
08/14/19 06:00:30,-2
08/14/19 06:01:30,0
08/14/19 06:02:30,-5
08/14/19 06:03:30,0
08/14/19 06:04:30,-11
08/14/19 06:05:32,3
08/14/19 06:06:32,-7
08/14/19 06:07:32,-2
08/14/19 06:08:32,0
08/14/19 06:09:32,-1
08/14/19 06:10:32,-1
08/14/19 06:11:32,0
08/14/19 06:12:32,-1
08/14/19 06:13:32,-1
08/14/19 06:14:32,0
08/14/19 06:15:33,4
08/14/19 06:16:33,0
