timestamp,Infrared to Red Signal Ratio
07/18/20 00:04:02,-1
07/18/20 00:05:02,-1
07/18/20 00:06:04,1
07/18/20 00:07:04,-10
07/18/20 00:08:04,0
07/18/20 00:35:01,-13
07/18/20 00:36:01,58
07/18/20 00:37:01,5
07/18/20 00:38:01,4
07/18/20 00:39:01,0
07/18/20 00:40:01,0
07/18/20 00:41:02,-2
07/18/20 00:42:02,-10
07/18/20 00:43:02,-1
07/18/20 00:44:02,-14
07/18/20 00:45:02,5
07/18/20 00:46:02,0
07/18/20 00:47:02,9
07/18/20 00:48:02,5
07/18/20 00:49:02,-1
07/18/20 00:50:02,9
07/18/20 00:51:02,18
07/18/20 00:52:02,-3
07/18/20 00:53:02,-11
07/18/20 00:54:02,10
07/18/20 00:55:02,9
07/18/20 00:56:02,16
07/18/20 00:57:03,-1
07/18/20 00:58:03,4
07/18/20 00:59:03,6
07/18/20 01:00:03,3
07/18/20 01:01:03,-2
07/18/20 01:02:03,3
07/18/20 01:03:03,0
07/18/20 01:04:03,22
07/18/20 01:05:03,-12
07/18/20 01:06:03,-9
07/18/20 01:07:03,-1
07/18/20 01:08:03,9
07/18/20 01:09:03,0
07/18/20 01:10:03,14
07/18/20 01:11:03,3
07/18/20 01:12:03,6
07/18/20 01:13:03,-1
07/18/20 01:14:04,-2
07/18/20 01:15:04,0
07/18/20 01:16:04,-1
07/18/20 01:17:04,-1
07/18/20 01:18:04,0
07/18/20 01:19:04,-1
07/18/20 01:20:04,-19
07/18/20 01:21:04,20
07/18/20 01:22:04,-1
07/18/20 01:23:04,1
07/18/20 01:24:04,-23
07/18/20 01:25:04,-1
07/18/20 01:26:04,51
07/18/20 01:27:04,8
07/18/20 01:28:04,-1
07/18/20 01:29:04,-10
07/18/20 01:30:04,16
07/18/20 01:31:05,0
07/18/20 01:32:05,19
07/18/20 01:33:05,-2
07/18/20 01:34:05,6
07/18/20 01:35:05,2
07/18/20 01:36:05,0
07/18/20 01:37:05,15
07/18/20 01:38:05,10
07/18/20 01:39:05,21
07/18/20 01:40:05,-1
07/18/20 01:41:05,3
07/18/20 01:42:05,-1
07/18/20 01:43:05,26
07/18/20 01:44:05,-1
07/18/20 01:45:05,30
07/18/20 01:46:05,-1
07/18/20 01:47:05,4
07/18/20 01:48:05,0
07/18/20 01:49:08,10
07/18/20 01:50:08,9
07/18/20 01:51:08,19
07/18/20 01:52:08,0
07/18/20 01:53:08,-4
07/18/20 01:54:08,12
07/18/20 01:55:08,1
07/18/20 01:56:08,-1
07/18/20 01:57:08,-2
07/18/20 01:58:08,4
07/18/20 01:59:08,0
07/18/20 02:00:08,2
07/18/20 02:01:08,1
07/18/20 02:02:08,3
07/18/20 02:03:08,-2
07/18/20 02:04:08,8
07/18/20 02:05:10,1
07/18/20 02:06:10,0
07/18/20 02:07:10,5
07/18/20 02:08:10,-5
07/18/20 02:09:10,0
07/18/20 02:10:10,11
07/18/20 02:11:10,14
07/18/20 02:12:10,1
07/18/20 02:13:10,2
07/18/20 02:14:10,-49
07/18/20 02:15:10,3
07/18/20 02:16:10,-26
07/18/20 02:17:10,-32
07/18/20 02:18:10,-45
07/18/20 02:19:10,-31
07/18/20 02:20:10,0
07/18/20 02:21:11,-12
07/18/20 02:22:11,-17
07/18/20 02:23:11,4
07/18/20 02:24:11,-1
07/18/20 02:25:11,0
07/18/20 02:26:11,-2
07/18/20 02:27:11,-3
07/18/20 02:28:11,-10
07/18/20 02:29:11,-40
07/18/20 02:30:11,0
07/18/20 02:31:11,-20
07/18/20 02:32:11,-1
07/18/20 02:33:11,-2
07/18/20 02:34:11,-7
07/18/20 02:35:11,5
07/18/20 02:36:11,-1
07/18/20 02:37:11,2
07/18/20 02:38:11,0
07/18/20 02:39:12,12
07/18/20 02:40:12,1
07/18/20 02:41:12,10
07/18/20 02:42:12,2
07/18/20 02:43:12,0
07/18/20 02:44:12,-9
07/18/20 02:45:12,0
07/18/20 02:46:12,1
07/18/20 02:47:12,20
07/18/20 02:48:12,0
07/18/20 02:49:12,2
