timestamp,Infrared to Red Signal Ratio
09/01/19 00:54:01,-8
09/01/19 00:55:01,-2
09/01/19 00:56:01,5
09/01/19 00:57:01,2
09/01/19 00:58:02,12
09/01/19 00:59:02,2
09/01/19 01:00:02,0
09/01/19 01:01:02,5
09/01/19 01:02:02,-1
09/01/19 01:03:02,-1
09/01/19 01:04:02,2
09/01/19 01:05:02,0
09/01/19 01:06:02,0
09/01/19 01:07:02,0
09/01/19 01:08:02,2
09/01/19 01:09:02,-2
09/01/19 01:10:02,3
09/01/19 01:11:03,1
09/01/19 01:12:03,6
09/01/19 01:13:03,0
09/01/19 01:14:03,0
09/01/19 01:15:04,-1
09/01/19 01:16:04,0
09/01/19 01:17:04,2
09/01/19 01:18:04,-3
09/01/19 01:19:04,-1
09/01/19 01:20:04,0
09/01/19 01:21:04,0
09/01/19 01:22:04,1
09/01/19 01:23:04,2
09/01/19 01:24:04,-7
09/01/19 01:25:04,0
09/01/19 01:26:04,6
09/01/19 01:27:04,0
09/01/19 01:28:04,5
09/01/19 01:29:04,0
09/01/19 01:30:04,1
09/01/19 01:31:04,6
09/01/19 01:32:05,10
09/01/19 01:33:05,-10
09/01/19 01:34:05,38
09/01/19 01:35:05,23
09/01/19 01:36:05,5
09/01/19 01:37:05,2
09/01/19 01:38:05,0
09/01/19 01:39:05,0
09/01/19 01:40:05,-1
09/01/19 01:41:05,0
09/01/19 01:42:05,-26
09/01/19 01:43:05,-40
09/01/19 01:44:05,-80
09/01/19 01:45:05,-30
09/01/19 01:46:05,-93
09/01/19 01:47:05,1
09/01/19 01:48:05,-1
09/01/19 01:49:06,14
09/01/19 01:50:06,0
09/01/19 01:51:06,10
09/01/19 01:52:06,15
09/01/19 01:53:06,1
09/01/19 01:54:06,-2
09/01/19 01:55:06,22
09/01/19 01:56:06,0
09/01/19 01:57:06,1
09/01/19 01:58:06,5
09/01/19 01:59:06,0
09/01/19 02:00:06,0
09/01/19 02:01:06,6
09/01/19 02:02:06,0
09/01/19 02:03:06,26
09/01/19 02:04:06,-6
09/01/19 02:05:06,-32
09/01/19 02:06:07,-38
09/01/19 02:07:07,1
09/01/19 02:08:07,-1
09/01/19 02:09:07,-1
09/01/19 02:10:07,-4
09/01/19 02:11:07,2
09/01/19 02:12:07,0
09/01/19 02:13:07,-2
09/01/19 02:14:07,7
09/01/19 02:15:07,6
09/01/19 02:16:07,3
09/01/19 02:17:07,0
09/01/19 02:18:07,12
09/01/19 02:19:07,0
09/01/19 02:20:07,18
09/01/19 02:21:07,-5
09/01/19 02:22:07,-2
09/01/19 02:23:08,6
09/01/19 02:24:08,-24
09/01/19 02:25:08,0
09/01/19 02:26:08,0
09/01/19 02:27:08,-1
09/01/19 02:28:08,9
09/01/19 02:29:08,3
09/01/19 02:30:08,8
09/01/19 02:31:08,4
09/01/19 02:32:08,30
09/01/19 02:33:08,1
09/01/19 02:34:08,0
09/01/19 02:35:09,-2
09/01/19 02:36:09,-1
09/01/19 02:37:09,-4
09/01/19 02:38:10,11
09/01/19 02:39:10,-1
09/01/19 02:40:10,0
09/01/19 02:41:11,-19
09/01/19 02:42:11,-4
09/01/19 02:43:11,0
09/01/19 02:44:11,-1
09/01/19 02:45:11,1
09/01/19 02:46:11,-2
09/01/19 02:47:12,-1
09/01/19 02:48:12,-5
09/01/19 02:49:12,-5
09/01/19 02:50:12,0
09/01/19 02:51:12,-16
09/01/19 02:52:12,-1
09/01/19 02:53:12,2
09/01/19 02:54:12,-1
09/01/19 02:55:12,0
09/01/19 02:56:12,-2
09/01/19 02:57:12,-8
09/01/19 02:58:14,-1
09/01/19 02:59:14,0
09/01/19 03:00:14,-15
09/01/19 03:01:14,-1
09/01/19 03:02:14,0
09/01/19 03:03:14,-11
09/01/19 03:04:14,-1
09/01/19 03:05:14,9
09/01/19 03:06:14,0
09/01/19 03:07:14,-6
09/01/19 03:08:14,0
09/01/19 03:09:14,-3
09/01/19 03:10:14,10
09/01/19 03:11:14,0
09/01/19 03:12:14,3
09/01/19 03:13:14,0
09/01/19 03:14:14,0
09/01/19 03:15:15,-1
09/01/19 03:16:15,0
09/01/19 03:17:16,-22
09/01/19 03:18:17,8
09/01/19 03:19:17,-1
09/01/19 03:20:18,-1
09/01/19 03:21:18,-19
09/01/19 03:22:18,-5
09/01/19 03:23:18,-9
09/01/19 03:24:18,-1
09/01/19 03:25:18,0
09/01/19 03:26:18,-28
09/01/19 03:27:18,2
09/01/19 03:28:18,4
09/01/19 03:29:18,-13
09/01/19 03:30:18,-1
09/01/19 03:31:18,-1
09/01/19 03:32:19,12
09/01/19 03:33:19,27
09/01/19 03:34:19,17
09/01/19 03:35:19,20
09/01/19 03:36:19,-1
09/01/19 03:37:19,1
09/01/19 03:38:19,0
09/01/19 03:39:19,-4
09/01/19 03:40:19,-1
09/01/19 03:41:19,-2
09/01/19 03:42:19,0
09/01/19 03:43:19,-1
09/01/19 03:44:19,-1
09/01/19 03:45:19,-1
09/01/19 03:46:19,18
09/01/19 03:47:19,-2
09/01/19 03:48:19,-2
09/01/19 03:49:20,20
09/01/19 03:50:20,17
09/01/19 03:51:20,-1
09/01/19 03:52:20,-1
09/01/19 03:53:20,17
09/01/19 03:54:20,2
09/01/19 03:55:20,-1
09/01/19 03:56:20,5
09/01/19 03:57:20,-1
09/01/19 03:58:20,-34
09/01/19 03:59:20,-12
09/01/19 04:00:20,-1
09/01/19 04:01:20,-9
09/01/19 04:02:20,-9
09/01/19 04:03:20,-29
09/01/19 04:04:20,35
09/01/19 04:05:20,0
09/01/19 04:06:21,-55
09/01/19 04:07:21,16
09/01/19 04:08:21,8
09/01/19 04:09:21,-7
09/01/19 04:10:21,-13
09/01/19 04:11:23,3
09/01/19 04:12:23,0
09/01/19 04:13:23,8
09/01/19 04:14:23,-12
09/01/19 04:15:23,-1
09/01/19 04:16:23,-1
09/01/19 04:17:23,0
09/01/19 04:18:23,-2
09/01/19 04:19:23,36
09/01/19 04:20:23,8
09/01/19 04:21:23,11
09/01/19 04:22:23,3
09/01/19 04:23:24,19
09/01/19 04:24:24,1
09/01/19 04:25:24,-9
09/01/19 04:26:24,-3
09/01/19 04:27:24,4
09/01/19 04:28:24,-63
09/01/19 04:29:24,-4
09/01/19 04:30:24,1
09/01/19 04:31:24,0
09/01/19 04:32:24,-4
09/01/19 04:33:24,-1
09/01/19 04:34:24,17
09/01/19 04:35:24,0
09/01/19 04:36:24,5
09/01/19 04:37:24,-3
09/01/19 04:38:24,0
09/01/19 04:39:24,4
09/01/19 04:40:25,-5
09/01/19 04:41:25,-1
09/01/19 04:42:25,-2
09/01/19 04:43:25,-2
09/01/19 04:44:25,-6
09/01/19 04:45:25,0
09/01/19 04:46:25,5
09/01/19 04:47:25,7
09/01/19 04:48:25,-8
09/01/19 04:49:25,-2
09/01/19 04:50:25,1
09/01/19 04:51:25,-7
09/01/19 04:52:25,0
09/01/19 04:53:25,0
09/01/19 04:54:25,2
09/01/19 04:55:25,0
09/01/19 04:56:25,0
09/01/19 04:57:26,2
09/01/19 04:58:26,0
09/01/19 04:59:26,0
09/01/19 05:00:26,1
09/01/19 05:01:26,0
09/01/19 05:02:26,-1
09/01/19 05:03:26,-1
09/01/19 05:04:26,-2
09/01/19 05:05:26,0
09/01/19 05:06:26,-20
09/01/19 05:07:26,4
09/01/19 05:08:26,0
09/01/19 05:09:26,3
09/01/19 05:10:26,-7
09/01/19 05:11:26,-3
09/01/19 05:12:26,2
09/01/19 05:13:26,-52
09/01/19 05:14:27,0
09/01/19 05:15:27,8
09/01/19 05:16:27,2
09/01/19 05:17:27,-4
09/01/19 05:18:27,-27
09/01/19 05:19:27,-56
09/01/19 05:20:28,-44
09/01/19 05:21:28,-52
09/01/19 05:22:28,-99
09/01/19 05:23:28,-3
09/01/19 05:24:28,-2
09/01/19 05:25:28,0
09/01/19 05:26:28,-1
09/01/19 05:27:28,1
09/01/19 05:28:28,-1
