timestamp,Infrared to Red Signal Ratio
01/25/20 01:28:01,-8
01/25/20 01:35:01,-2
01/25/20 01:36:02,-1
01/25/20 01:37:03,-1
01/25/20 01:38:03,-18
01/25/20 01:39:04,5
01/25/20 01:40:04,-1
01/25/20 01:41:04,-6
01/25/20 01:42:05,-6
01/25/20 01:43:05,-5
01/25/20 01:44:05,-9
01/25/20 01:45:06,-15
01/25/20 01:46:06,-15
01/25/20 01:47:07,0
01/25/20 01:48:07,-3
01/25/20 01:49:07,-8
01/25/20 01:50:07,-10
01/25/20 01:51:07,-4
01/25/20 01:52:07,-6
01/25/20 01:53:07,0
01/25/20 01:54:07,-6
01/25/20 01:55:07,0
01/25/20 01:56:07,0
01/25/20 01:57:07,-2
01/25/20 01:58:07,1
01/25/20 01:59:07,-1
01/25/20 02:00:08,-1
01/25/20 02:01:08,-1
01/25/20 02:02:08,-1
01/25/20 02:03:08,1
01/25/20 02:04:08,-7
01/25/20 02:05:08,-2
01/25/20 02:06:08,-2
01/25/20 02:07:08,-17
01/25/20 02:08:08,-1
01/25/20 02:09:08,-21
01/25/20 02:10:08,-1
01/25/20 02:11:09,0
01/25/20 02:12:09,-1
01/25/20 02:13:09,5
01/25/20 02:14:11,-12
01/25/20 02:15:11,61
01/25/20 02:16:11,-10
01/25/20 02:17:12,0
01/25/20 02:18:12,-10
01/25/20 02:19:12,-1
01/25/20 02:20:12,-5
01/25/20 02:21:12,-1
01/25/20 02:22:12,-24
01/25/20 02:23:13,-7
01/25/20 02:24:13,-28
01/25/20 02:25:17,-28
01/25/20 02:26:17,1
01/25/20 02:27:18,0
01/25/20 02:28:19,-7
01/25/20 02:29:21,-15
01/25/20 02:30:22,-1
01/25/20 02:31:24,-23
01/25/20 02:32:26,-13
01/25/20 02:33:28,-31
01/25/20 02:34:31,-2
01/25/20 02:35:33,-32
01/25/20 02:36:35,-10
01/25/20 02:37:36,11
01/25/20 02:38:38,0
01/25/20 02:39:39,4
01/25/20 02:40:41,-7
01/25/20 02:41:42,-18
01/25/20 02:42:43,22
01/25/20 02:43:44,-12
01/25/20 02:44:45,-8
01/25/20 02:45:45,-15
01/25/20 02:46:49,40
01/25/20 02:47:49,24
01/25/20 02:48:50,-19
01/25/20 02:49:52,1
01/25/20 02:50:53,0
01/25/20 02:51:55,0
01/25/20 02:52:56,-7
01/25/20 02:53:58,-1
01/25/20 02:54:58,8
01/25/20 02:56:00,-1
01/25/20 02:57:00,8
01/25/20 02:58:04,-55
01/25/20 02:59:06,9
01/25/20 03:00:08,0
01/25/20 03:01:08,0
01/25/20 03:02:10,-12
01/25/20 03:03:12,-2
01/25/20 03:04:13,0
01/25/20 03:05:15,1
01/25/20 03:06:16,-1
01/25/20 03:07:18,-19
01/25/20 03:08:21,2
01/25/20 03:09:23,-31
01/25/20 03:10:24,-28
01/25/20 03:11:26,10
01/25/20 03:12:27,-24
01/25/20 03:13:29,-24
01/25/20 03:14:30,-11
01/25/20 03:15:32,-4
01/25/20 03:16:33,-9
01/25/20 03:17:34,-14
01/25/20 03:18:37,-46
01/25/20 03:19:37,-4
01/25/20 03:20:38,-44
01/25/20 03:21:39,-1
01/25/20 03:22:40,-18
01/25/20 03:23:41,0
01/25/20 03:24:44,-15
01/25/20 03:25:44,-14
01/25/20 03:26:46,-14
01/25/20 03:27:47,6
01/25/20 03:28:48,-33
01/25/20 03:29:50,-1
01/25/20 03:30:52,2
01/25/20 03:31:55,-9
01/25/20 03:32:56,0
01/25/20 03:33:56,0
01/25/20 03:34:57,-4
01/25/20 03:35:59,0
01/25/20 03:37:00,0
01/25/20 03:38:02,7
01/25/20 03:39:03,-8
01/25/20 03:40:05,-59
01/25/20 03:41:07,-51
01/25/20 03:42:12,-7
01/25/20 03:43:13,0
01/25/20 03:44:14,-3
01/25/20 03:45:14,5
01/25/20 03:46:16,3
01/25/20 03:47:18,-4
01/25/20 03:48:19,-1
01/25/20 03:49:21,-3
