timestamp,Infrared to Red Signal Ratio
07/15/20 00:46:01,17
07/15/20 00:47:01,-1
07/15/20 00:48:01,-3
07/15/20 00:49:01,-16
07/15/20 00:50:01,2
07/15/20 00:51:01,-4
07/15/20 00:52:01,0
07/15/20 00:53:01,-9
07/15/20 00:54:01,1
07/15/20 00:55:01,-2
07/15/20 00:56:02,-4
07/15/20 00:57:02,-2
07/15/20 00:58:02,-2
07/15/20 00:59:02,0
07/15/20 01:00:02,-1
07/15/20 01:01:02,-1
07/15/20 01:02:02,-2
07/15/20 01:03:02,-1
07/15/20 01:04:02,-1
07/15/20 01:05:02,-5
07/15/20 01:06:02,-1
07/15/20 01:07:02,-1
07/15/20 01:08:02,-12
07/15/20 01:09:02,-7
07/15/20 01:10:02,-7
07/15/20 01:11:02,-11
07/15/20 01:12:02,-4
07/15/20 01:13:03,0
07/15/20 01:14:03,-5
07/15/20 01:15:03,-1
07/15/20 01:16:03,-1
07/15/20 01:17:03,5
07/15/20 01:18:03,-6
07/15/20 01:19:03,0
07/15/20 01:20:03,-9
07/15/20 01:21:03,-7
07/15/20 01:22:03,-10
07/15/20 01:23:03,-3
07/15/20 01:24:04,-2
07/15/20 01:25:04,0
07/15/20 01:26:04,0
07/15/20 01:27:04,0
07/15/20 01:28:04,1
07/15/20 01:29:05,-1
07/15/20 01:30:04,-3
07/15/20 01:31:05,-1
07/15/20 01:32:05,-1
07/15/20 01:33:05,31
07/15/20 01:34:05,-4
07/15/20 01:35:05,3
07/15/20 01:36:05,-2
07/15/20 01:37:05,-3
07/15/20 01:38:05,1
07/15/20 01:39:05,2
07/15/20 01:40:05,1
07/15/20 01:41:05,-1
07/15/20 01:42:05,3
07/15/20 01:43:05,-1
07/15/20 01:44:05,1
07/15/20 01:45:05,-4
07/15/20 01:46:06,0
07/15/20 01:47:06,-4
07/15/20 01:48:06,-11
07/15/20 01:49:06,-2
07/15/20 01:50:06,-4
07/15/20 01:51:06,-1
07/15/20 01:52:06,-5
07/15/20 01:53:06,0
07/15/20 01:54:06,-1
07/15/20 01:55:06,4
07/15/20 01:56:06,-4
07/15/20 01:57:06,12
07/15/20 01:58:06,-8
07/15/20 01:59:06,-24
07/15/20 02:00:06,-5
07/15/20 02:01:06,7
07/15/20 02:02:06,-1
07/15/20 02:03:06,-1
07/15/20 02:04:06,-2
07/15/20 02:05:07,-10
07/15/20 02:06:07,-14
07/15/20 02:07:07,13
07/15/20 02:08:07,3
07/15/20 02:09:07,-1
07/15/20 02:10:07,-8
07/15/20 02:11:07,-11
07/15/20 02:12:07,-1
07/15/20 02:13:07,4
07/15/20 02:14:07,-6
07/15/20 02:15:07,-1
07/15/20 02:16:07,0
07/15/20 02:17:07,0
07/15/20 02:18:07,0
07/15/20 02:19:07,0
07/15/20 02:20:07,-1
07/15/20 02:21:08,1
07/15/20 02:22:08,-1
07/15/20 02:23:08,0
07/15/20 02:24:08,-28
07/15/20 02:25:08,-5
07/15/20 02:26:08,-25
07/15/20 02:27:08,-1
07/15/20 02:28:08,-1
07/15/20 02:29:08,7
07/15/20 02:30:08,-5
07/15/20 02:31:08,1
07/15/20 02:32:08,-7
07/15/20 02:33:08,-10
07/15/20 02:34:08,1
07/15/20 02:35:08,0
07/15/20 02:36:08,3
07/15/20 02:37:09,12
07/15/20 02:38:09,-1
07/15/20 02:39:09,-14
07/15/20 02:40:09,1
07/15/20 02:41:09,-3
07/15/20 02:42:09,0
07/15/20 02:43:09,-1
07/15/20 02:44:09,-22
07/15/20 02:45:09,2
07/15/20 02:46:09,6
07/15/20 02:47:09,-2
07/15/20 02:48:09,-5
07/15/20 02:49:09,7
07/15/20 02:50:09,0
07/15/20 02:51:09,3
07/15/20 02:52:09,-11
07/15/20 02:53:09,-1
07/15/20 02:54:09,0
07/15/20 02:55:10,0
07/15/20 02:56:10,-6
07/15/20 02:57:10,-8
