timestamp,Infrared to Red Signal Ratio
06/18/19 00:00:37,0
06/18/19 00:01:37,-9
06/18/19 00:02:37,-4
06/18/19 00:03:37,-19
06/18/19 00:04:37,0
06/18/19 00:05:37,4
06/18/19 00:06:37,-21
06/18/19 00:07:37,-1
06/18/19 00:08:37,-1
06/18/19 00:09:37,-1
06/18/19 00:10:37,-65
06/18/19 00:11:38,-1
06/18/19 00:12:38,-6
06/18/19 00:13:38,-2
06/18/19 00:14:39,-4
06/18/19 00:15:39,-1
06/18/19 00:16:39,-4
06/18/19 00:17:39,2
06/18/19 00:18:39,0
06/18/19 00:19:39,-1
06/18/19 00:20:39,-1
06/18/19 00:21:39,12
06/18/19 00:22:39,0
06/18/19 00:23:39,12
06/18/19 00:24:39,4
06/18/19 00:25:39,0
06/18/19 00:26:39,8
06/18/19 00:27:39,-1
06/18/19 00:28:39,-10
06/18/19 00:29:39,-1
06/18/19 00:30:39,-2
06/18/19 00:31:40,-1
06/18/19 00:32:40,2
06/18/19 00:33:40,1
06/18/19 00:34:40,-4
06/18/19 00:35:40,-2
06/18/19 00:36:40,0
06/18/19 00:37:40,-1
06/18/19 00:38:40,0
06/18/19 00:39:40,-4
06/18/19 00:40:40,-4
06/18/19 00:41:40,-1
06/18/19 00:42:40,-1
06/18/19 00:43:40,0
06/18/19 00:44:40,-7
06/18/19 00:45:40,-3
06/18/19 00:46:40,2
06/18/19 00:47:40,-2
06/18/19 00:48:40,0
06/18/19 00:49:41,0
06/18/19 00:50:41,0
06/18/19 00:51:41,-1
06/18/19 00:52:41,1
06/18/19 00:53:41,-13
06/18/19 00:54:41,4
06/18/19 00:55:41,-2
06/18/19 00:56:41,-8
06/18/19 00:57:41,-1
06/18/19 00:58:41,0
06/18/19 00:59:41,0
06/18/19 01:00:41,3
06/18/19 01:01:41,0
06/18/19 01:02:41,-4
06/18/19 01:03:41,-10
06/18/19 01:04:41,-34
06/18/19 01:05:41,-13
06/18/19 01:06:42,-2
06/18/19 01:07:42,-6
06/18/19 01:08:42,-3
06/18/19 01:09:42,1
06/18/19 01:10:42,4
06/18/19 01:11:42,-2
06/18/19 01:12:42,0
06/18/19 01:13:42,-3
06/18/19 01:14:42,-3
06/18/19 01:15:42,-2
06/18/19 01:16:42,-8
06/18/19 01:17:42,-4
06/18/19 01:18:42,-3
06/18/19 01:19:42,2
06/18/19 01:20:42,0
06/18/19 01:21:42,-14
06/18/19 01:22:42,-3
06/18/19 01:23:43,-1
06/18/19 01:24:43,-2
06/18/19 01:25:43,-5
06/18/19 01:26:43,-19
06/18/19 01:27:43,-3
06/18/19 01:28:43,36
06/18/19 01:29:43,21
06/18/19 01:30:43,-10
06/18/19 01:31:43,17
06/18/19 01:32:43,0
06/18/19 01:33:43,18
06/18/19 01:34:43,42
06/18/19 01:35:43,-14
06/18/19 01:36:43,15
06/18/19 01:37:43,-1
06/18/19 01:38:43,36
06/18/19 01:39:43,4
06/18/19 01:40:44,2
06/18/19 01:41:44,0
06/18/19 01:42:44,15
06/18/19 01:43:44,-1
06/18/19 01:44:44,7
06/18/19 01:45:44,0
06/18/19 01:46:44,12
06/18/19 01:47:44,0
06/18/19 01:48:44,10
06/18/19 01:49:44,0
06/18/19 01:50:44,0
06/18/19 01:51:44,2
06/18/19 01:52:44,-1
06/18/19 01:53:44,3
06/18/19 01:54:44,-6
06/18/19 01:55:44,-1
06/18/19 01:56:44,57
06/18/19 01:57:45,-2
06/18/19 01:58:45,6
06/18/19 01:59:45,-6
06/18/19 02:00:45,-13
06/18/19 02:01:45,-3
06/18/19 02:02:45,-1
06/18/19 02:03:45,0
06/18/19 02:04:45,0
06/18/19 02:05:45,1
06/18/19 02:06:45,-30
06/18/19 02:07:45,-1
06/18/19 02:08:45,-1
06/18/19 02:09:45,-2
06/18/19 02:10:45,-5
06/18/19 02:11:45,43
06/18/19 02:12:45,2
06/18/19 02:13:45,-5
06/18/19 02:14:46,-1
06/18/19 02:15:46,0
06/18/19 02:16:46,-1
06/18/19 02:17:46,22
06/18/19 02:18:46,-1
06/18/19 02:19:46,-2
06/18/19 02:20:46,-4
06/18/19 02:21:46,-6
06/18/19 02:22:46,0
06/18/19 02:23:46,-12
06/18/19 02:24:46,-2
06/18/19 02:25:47,5
06/18/19 02:26:47,6
06/18/19 02:27:47,-6
06/18/19 02:28:47,-1
06/18/19 02:29:47,0
06/18/19 02:30:47,1
06/18/19 02:31:48,6
06/18/19 02:32:48,0
06/18/19 02:33:48,13
06/18/19 02:34:48,3
06/18/19 02:35:48,7
06/18/19 02:36:48,4
06/18/19 02:37:48,-3
06/18/19 02:38:48,-2
06/18/19 02:39:48,6
06/18/19 02:40:48,-1
06/18/19 02:41:48,-1
06/18/19 02:42:48,-1
06/18/19 02:43:48,-11
06/18/19 02:44:48,-17
06/18/19 02:45:48,3
06/18/19 02:46:48,-11
06/18/19 02:47:48,3
06/18/19 02:48:49,-2
06/18/19 02:49:49,-6
06/18/19 02:50:49,-16
06/18/19 02:51:49,-5
06/18/19 02:52:49,-22
06/18/19 02:53:50,-39
06/18/19 02:54:50,1
06/18/19 02:55:50,-18
06/18/19 02:56:51,0
06/18/19 02:57:51,0
06/18/19 02:58:51,0
06/18/19 02:59:51,2
06/18/19 03:00:51,-1
06/18/19 03:01:51,0
06/18/19 03:02:51,0
06/18/19 03:03:51,-17
06/18/19 03:04:51,7
06/18/19 03:05:53,0
06/18/19 03:06:53,1
06/18/19 03:07:53,1
06/18/19 03:08:53,-1
06/18/19 03:09:53,-3
06/18/19 03:10:53,8
06/18/19 03:11:53,-1
06/18/19 03:12:53,-8
06/18/19 03:13:53,36
06/18/19 03:14:53,15
06/18/19 03:15:53,0
06/18/19 03:16:53,0
06/18/19 03:17:53,0
06/18/19 03:18:53,4
06/18/19 03:19:53,-1
06/18/19 03:20:53,13
06/18/19 03:21:53,6
06/18/19 03:22:54,9
06/18/19 03:23:54,29
06/18/19 03:24:54,11
06/18/19 03:25:54,4
06/18/19 03:26:54,-1
06/18/19 03:27:54,18
06/18/19 03:28:54,3
06/18/19 03:29:54,1
06/18/19 03:30:54,-1
06/18/19 03:31:54,1
06/18/19 03:32:54,14
06/18/19 03:33:54,0
06/18/19 03:34:54,-3
06/18/19 03:35:54,7
06/18/19 03:36:54,0
06/18/19 03:37:54,20
06/18/19 03:38:54,15
06/18/19 03:39:55,34
06/18/19 03:40:55,11
06/18/19 03:41:56,11
06/18/19 03:42:56,-15
06/18/19 03:43:56,7
06/18/19 03:44:57,1
06/18/19 03:45:57,4
06/18/19 03:46:57,13
06/18/19 03:47:57,7
06/18/19 03:48:57,0
06/18/19 03:49:57,5
06/18/19 03:50:57,-1
06/18/19 03:51:57,-1
06/18/19 03:52:57,3
06/18/19 03:53:57,2
06/18/19 03:54:57,-13
06/18/19 03:55:57,8
06/18/19 03:56:58,-4
06/18/19 03:57:58,-1
06/18/19 03:58:58,6
06/18/19 03:59:58,-1
06/18/19 04:00:58,1
06/18/19 04:01:58,-2
06/18/19 04:02:58,1
06/18/19 04:03:58,-6
06/18/19 04:04:58,-1
06/18/19 04:05:58,2
06/18/19 04:06:58,0
06/18/19 04:07:58,0
06/18/19 04:08:58,-4
06/18/19 04:09:58,1
06/18/19 04:10:58,0
06/18/19 04:11:58,-2
06/18/19 04:12:58,-8
06/18/19 04:13:59,-4
06/18/19 04:14:59,0
06/18/19 04:15:59,-6
06/18/19 04:16:59,-3
06/18/19 04:17:59,-10
06/18/19 04:18:59,0
06/18/19 04:19:59,7
06/18/19 04:20:59,-6
06/18/19 04:21:59,0
06/18/19 04:22:59,1
06/18/19 04:23:59,3
06/18/19 04:24:59,4
06/18/19 04:25:59,0
06/18/19 04:26:59,0
06/18/19 04:27:59,1
06/18/19 04:28:59,0
06/18/19 04:29:59,33
06/18/19 04:31:00,-8
06/18/19 04:32:00,2
06/18/19 04:33:00,-1
06/18/19 04:34:00,-7
06/18/19 04:35:00,2
06/18/19 04:36:00,8
06/18/19 04:37:00,0
06/18/19 04:38:00,0
06/18/19 04:39:00,0
06/18/19 04:40:00,-14
06/18/19 04:41:00,-2
06/18/19 04:42:00,-1
06/18/19 04:43:00,0
06/18/19 04:44:00,4
06/18/19 04:45:00,17
06/18/19 04:46:00,4
06/18/19 04:47:00,-4
06/18/19 04:48:01,-1
06/18/19 04:49:01,20
06/18/19 04:50:01,0
06/18/19 04:51:01,-17
06/18/19 04:52:01,4
06/18/19 04:53:01,-8
06/18/19 04:54:01,-1
06/18/19 04:55:01,-5
06/18/19 04:56:01,0
06/18/19 04:57:01,5
06/18/19 04:58:01,-1
06/18/19 04:59:01,5
06/18/19 05:00:01,3
06/18/19 05:01:01,1
06/18/19 05:02:01,0
06/18/19 05:03:01,-1
06/18/19 05:04:02,-2
06/18/19 05:05:03,-1
06/18/19 05:06:03,8
06/18/19 05:07:03,-7
06/18/19 05:08:03,-1
06/18/19 05:09:03,-1
06/18/19 05:10:03,-1
06/18/19 05:11:03,-1
06/18/19 05:12:03,19
06/18/19 05:13:03,-8
06/18/19 05:14:03,0
06/18/19 05:15:03,-2
06/18/19 05:16:03,-2
06/18/19 05:17:03,-1
06/18/19 05:18:03,1
06/18/19 05:19:03,-10
06/18/19 05:20:03,-1
06/18/19 05:21:03,-1
06/18/19 05:22:03,2
06/18/19 05:23:04,0
06/18/19 05:24:04,-2
06/18/19 05:25:04,-1
06/18/19 05:26:04,30
06/18/19 05:27:04,4
06/18/19 05:28:04,-1
06/18/19 05:29:04,-13
06/18/19 05:30:04,-3
06/18/19 05:31:04,-12
06/18/19 05:32:04,-1
06/18/19 05:33:04,-41
06/18/19 05:34:04,4
06/18/19 05:35:04,0
06/18/19 05:36:04,0
06/18/19 05:37:04,-1
06/18/19 05:38:04,9
06/18/19 05:39:04,-15
06/18/19 05:40:05,0
06/18/19 05:41:05,0
06/18/19 05:42:05,0
06/18/19 05:43:05,-2
06/18/19 05:44:05,-3
06/18/19 05:45:05,-3
06/18/19 05:46:05,-3
06/18/19 05:47:05,8
06/18/19 05:48:05,0
06/18/19 05:49:05,-49
06/18/19 05:50:05,-31
06/18/19 05:51:05,-18
06/18/19 05:52:06,-5
06/18/19 05:53:06,0
06/18/19 05:54:06,-1
06/18/19 05:55:06,-3
06/18/19 05:56:06,-12
06/18/19 05:57:07,2
06/18/19 05:58:07,0
06/18/19 05:59:07,0
06/18/19 06:00:07,0
06/18/19 06:01:07,1
06/18/19 06:02:07,0
06/18/19 06:03:07,8
06/18/19 06:04:07,0
06/18/19 06:05:07,0
06/18/19 06:06:07,-12
06/18/19 06:07:07,2
06/18/19 06:08:07,-20
06/18/19 06:09:08,22
06/18/19 06:10:08,1
06/18/19 06:11:08,11
06/18/19 06:12:08,-3
06/18/19 06:13:09,-4
06/18/19 06:14:09,-7
06/18/19 06:15:09,0
06/18/19 06:16:09,8
06/18/19 06:17:09,12
06/18/19 06:18:09,-3
06/18/19 06:19:09,0
06/18/19 06:20:09,0
06/18/19 06:21:09,16
06/18/19 06:22:09,2
06/18/19 06:23:09,-3
06/18/19 06:24:09,4
06/18/19 06:25:09,0
06/18/19 06:26:09,1
06/18/19 06:27:09,8
06/18/19 06:28:09,15
06/18/19 06:29:09,-1
06/18/19 06:30:09,-1
06/18/19 06:31:10,26
06/18/19 06:32:10,8
06/18/19 06:33:10,-1
06/18/19 06:34:10,0
