timestamp,Infrared to Red Signal Ratio
05/29/19 07:01:59,4
05/29/19 07:02:59,2
05/29/19 07:03:59,-1
05/29/19 07:05:00,-2
05/29/19 07:06:00,-1
05/29/19 07:07:01,-2
05/29/19 07:08:01,-6
05/29/19 07:09:01,-2
05/29/19 08:11:03,4
05/29/19 08:12:03,0
05/29/19 08:13:03,1
05/29/19 08:14:03,0
05/29/19 08:15:03,1
05/29/19 08:16:03,0
05/29/19 08:17:03,0
05/29/19 08:18:03,27
05/29/19 08:19:03,0
05/29/19 08:20:03,-2
05/29/19 08:21:03,0
05/29/19 08:22:03,-8
05/29/19 08:23:03,11
05/29/19 08:24:03,-1
05/29/19 08:25:03,0
05/29/19 08:26:03,2
05/29/19 08:27:03,1
05/29/19 08:28:04,-1
05/29/19 08:29:04,2
05/29/19 08:30:04,0
05/29/19 08:31:04,-2
05/29/19 08:32:04,-2
05/29/19 08:33:04,-1
05/29/19 08:34:04,0
05/29/19 08:35:04,3
05/29/19 08:36:04,-11
05/29/19 08:37:05,-1
05/29/19 08:38:05,-1
05/29/19 08:39:05,-6
05/29/19 08:40:05,-1
05/29/19 08:41:05,0
05/29/19 08:42:05,-3
05/29/19 08:43:05,2
05/29/19 08:44:06,-1
05/29/19 23:15:02,-2
05/29/19 23:16:02,9
05/29/19 23:17:02,0
05/29/19 23:18:02,5
05/29/19 23:19:02,2
05/29/19 23:20:02,2
05/29/19 23:21:02,23
05/29/19 23:22:02,1
05/29/19 23:23:02,15
05/29/19 23:24:02,6
05/29/19 23:25:02,-1
05/29/19 23:26:02,9
05/29/19 23:27:02,16
05/29/19 23:28:02,-1
05/29/19 23:29:02,-2
05/29/19 23:30:03,-10
05/29/19 23:31:03,11
05/29/19 23:32:03,-3
05/29/19 23:33:03,8
05/29/19 23:34:03,0
05/29/19 23:35:03,-1
05/29/19 23:36:03,-1
05/29/19 23:37:03,14
05/29/19 23:38:03,-1
05/29/19 23:39:03,9
05/29/19 23:40:03,0
05/29/19 23:41:03,5
05/29/19 23:42:03,41
05/29/19 23:43:04,-1
05/29/19 23:44:04,-14
05/29/19 23:45:04,-1
05/29/19 23:46:04,0
05/29/19 23:47:05,-2
05/29/19 23:48:05,4
05/29/19 23:49:05,2
05/29/19 23:50:06,0
05/29/19 23:51:06,0
05/29/19 23:52:06,19
05/29/19 23:53:06,-14
05/29/19 23:54:06,-3
05/29/19 23:55:06,-3
05/29/19 23:56:06,2
05/29/19 23:57:06,-3
05/29/19 23:58:06,-2
05/29/19 23:59:06,3
